Tenant_ID,Account_No,Bill_No,Period_Start,Period_End,Days,Prev_Reading,Curr_Reading,Mult,Units_kWh,Demand_kVA,Power_Factor,Total_Amount,Reading_Type
ACME-001,9000384522,BILL52200,18-Jan-2024,18-Feb-2024,31,1051599,1056538,1.0,4939,61,0.95,46609.72,Actual
ACME-001,9000384522,BILL52201,19-Feb-2024,19-Mar-2024,29,1056538,1060575,1.0,4037,74,0.9,43145.54,Actual
ACME-001,9000384522,BILL52202,20-Mar-2024,19-Apr-2024,30,1060575,1065370,1.0,4795,55,0.95,44600.88,Actual
ACME-001,9000384522,BILL52203,20-Apr-2024,22-May-2024,32,1065370,1069618,1.0,4248,43,0.93,47417.67,Actual
ACME-001,9000384522,BILL52204,23-May-2024,20-Jun-2024,28,1069618,1073357,1.0,3739,45,0.96,46344.09,Estimated
ACME-001,9000384522,BILL52205,21-Jun-2024,20-Jul-2024,29,1073357,1078637,1.0,5280,71,0.91,65781.42,Actual
ACME-001,9000384522,BILL52206,21-Jul-2024,18-Aug-2024,28,1078637,1083622,1.0,4985,64,0.85,52650.01,Actual
ACME-001,9000384522,BILL52207,19-Aug-2024,19-Sep-2024,31,1083622,1099918,1.0,16296,67,0.93,194281.26,Actual
ACME-001,9000384522,BILL52208,20-Sep-2024,22-Oct-2024,32,1099918,1106321,1.0,6403,85,0.91,62490.66,Actual
ACME-001,9000384522,BILL52209,23-Oct-2024,21-Nov-2024,29,1106321,1113552,1.0,7231,43,0.92,80761.45,Actual
ACME-001,9000384522,BILL52210,22-Nov-2024,25-Dec-2024,33,1113552,1119642,1.0,6090,43,0.86,66424.57,Actual
ACME-001,9000384522,BILL52211,26-Dec-2024,27-Jan-2025,32,1119642,1125612,1.0,5970,43,0.97,55643.06,Actual
ACME-001,9000384531,BILL53100,18-Jan-2024,19-Feb-2024,32,1097425,1101044,1.0,3619,83,0.95,38416.05,Actual
ACME-001,9000384531,BILL53101,20-Feb-2024,23-Mar-2024,32,1101044,1105228,1.0,4184,77,0.92,48021.97,Actual
ACME-001,9000384531,BILL53102,24-Mar-2024,24-Apr-2024,31,1105228,1110454,1.0,5226,77,0.92,53647.4,Actual
ACME-001,9000384531,BILL53103,25-Apr-2024,25-May-2024,30,1110454,1114952,1.0,4498,82,0.94,44776.44,Actual
ACME-001,9000384531,BILL53104,26-May-2024,26-Jun-2024,31,1114952,1117680,1.0,2728,82,0.93,29541.23,Estimated
ACME-001,9000384531,BILL53105,27-Jun-2024,25-Jul-2024,28,1117680,1122179,1.0,4499,69,0.92,50622.63,Actual
ACME-001,9000384531,BILL53106,26-Jul-2024,23-Aug-2024,28,1122179,1127009,1.0,4830,74,0.88,48593.67,Actual
ACME-001,9000384531,BILL53107,24-Aug-2024,23-Sep-2024,30,1127009,1147061,1.0,20052,44,0.96,210107.03,Actual
ACME-001,9000384531,BILL53108,24-Sep-2024,23-Oct-2024,29,1147061,1153038,1.0,5977,93,0.92,61025.58,Actual
ACME-001,9000384531,BILL53109,24-Oct-2024,26-Nov-2024,33,1153038,1159401,1.0,6363,40,0.93,71382.74,Actual
ACME-001,9000384531,BILL53110,27-Nov-2024,30-Dec-2024,33,1159401,1165093,1.0,5692,48,0.88,71484.98,Actual
ACME-001,9000384531,BILL53111,31-Dec-2024,02-Feb-2025,33,1165093,1171906,1.0,6813,49,0.88,77799.82,Actual
GLOBEX-002,9000384547,BILL54700,18-Jan-2024,20-Feb-2024,33,1179768,1185099,1.0,5331,94,0.88,58396.45,Actual
GLOBEX-002,9000384547,BILL54701,21-Feb-2024,20-Mar-2024,28,1185099,1189521,1.0,4422,80,0.9,44691.92,Actual
GLOBEX-002,9000384547,BILL54702,21-Mar-2024,18-Apr-2024,28,1189521,1194637,1.0,5116,89,0.87,66094.59,Actual
GLOBEX-002,9000384547,BILL54703,19-Apr-2024,18-May-2024,29,1194637,1200788,1.0,6151,68,0.92,65881.81,Actual
GLOBEX-002,9000384547,BILL54704,19-May-2024,16-Jun-2024,28,1200788,1203825,1.0,3037,44,0.96,35727.51,Estimated
GLOBEX-002,9000384547,BILL54705,17-Jun-2024,16-Jul-2024,29,1203825,1209975,1.0,6150,42,0.95,69679.74,Actual
GLOBEX-002,9000384547,BILL54706,17-Jul-2024,15-Aug-2024,29,1209975,1216088,1.0,6113,48,0.86,63933.46,Actual
GLOBEX-002,9000384547,BILL54707,16-Aug-2024,13-Sep-2024,28,1216088,1237907,1.0,21819,62,0.88,218148.96,Actual
GLOBEX-002,9000384547,BILL54708,14-Sep-2024,12-Oct-2024,28,1237907,1244264,1.0,6357,89,0.92,79455.2,Actual
GLOBEX-002,9000384547,BILL54709,13-Oct-2024,14-Nov-2024,32,1244264,1251631,1.0,7367,49,0.96,73279.18,Actual
GLOBEX-002,9000384547,BILL54710,15-Nov-2024,14-Dec-2024,29,1251631,1259663,1.0,8032,91,0.95,100606.14,Actual
GLOBEX-002,9000384547,BILL54711,15-Dec-2024,12-Jan-2025,28,1259663,1266263,1.0,6600,87,0.96,80055.0,Actual
