Tenant_ID,PO_Number,Bestellpos,Material,Short_Text,Werk,Bestellmenge,BME,Net_Price,Currency,Bestelldatum,Warengruppe,Vendor
ACME-001,4500001234,10,MAT-PTL-002,Petrol 95,1010,500,L,1.82,USD,07-Jan-24,300,VENDOR4502
ACME-001,4500001234,20,MAT-ITH-045,Laptop Dell Latitude,1010,500,ST,1268.75,USD,07.01.2024,700,VENDOR4502
ACME-001,4500001235,10,MAT-PTL-002,Petrol 95,3030,800,L,1.53,EUR,25.02.2024,300,VENDOR9001
ACME-001,4500001238,10,MAT-CNG-004,Compressed Natural Gas,3030,5,KG,1.12,USD,01/02/2024,300,VENDOR4502
ACME-001,4500001239,10,MAT-LBO-007,Lubricant Oil 15W40,1010,250,KG,4.88,EUR,27.03.2024,300,VENDOR7733
ACME-001,4500001239,20,MAT-PKG-012,Cardboard Packaging,1010,500,KG,0.94,EUR,27.03.2024,450,VENDOR7733
ACME-001,4500001239,30,MAT-OFC-099,Office Supplies Bundle,1010,800,ST,32.49,EUR,27.03.2024,820,VENDOR7733
ACME-001,4500001239,40,MAT-ITH-045,Laptop Dell Latitude,1010,12,ST,1306.17,EUR,27.03.2024,700,VENDOR7733
ACME-001,4500001242,10,MAT-ITH-045,Laptop Dell Latitude,1010,500,ST,1320.42,EUR,02.04.2024,700,VENDOR9001
ACME-001,4500001242,20,MAT-PTL-002,Petrol 95,1010,500,,1.58,EUR,02.04.2024,300,VENDOR9001
ACME-001,4500001242,30,MAT-LBO-007,Lubricant Oil 15W40,1010,1500,KG,4.66,EUR,02.04.2024,300,VENDOR9001
ACME-001,4500001244,10,MAT-ITH-045,Laptop Dell Latitude,3030,500,ST,1185.02,EUR,31.03.2024,700,VENDOR1102
ACME-001,4500001245,10,MAT-ITH-045,Laptop Dell Latitude,2020,2000,ST,1226.54,EUR,03.03.2024,700,VENDOR7733
ACME-001,4500001245,20,MAT-PKG-012,Cardboard Packaging,2020,250,KG,0.53,EUR,03-Mar-24,450,VENDOR7733
ACME-001,4500001246,10,MAT-ITH-045,Laptop Dell Latitude,3030,1500,ST,1067.60,EUR,04/12/2024,700,VENDOR4502
ACME-001,4500001246,20,MAT-LBO-007,Lubricant Oil 15W40,3030,1500,KG,3.53,EUR,12.04.2024,300,VENDOR4502
ACME-001,4500001246,30,MAT-PTL-002,Petrol 95,3030,1000,L,1.54,EUR,12.04.2024,300,VENDOR4502
ACME-001,4500001249,10,MAT-PTL-002,Petrol 95,2020,1500,GAL,1.48,EUR,29.05.2024,300,VENDOR7733
ACME-001,4500001249,20,MAT-PKG-012,Cardboard Packaging,2020,250,KG,0.87,EUR,29.05.2024,450,VENDOR7733
ACME-001,4500001250,10,MAT-OFC-099,Office Supplies Bundle,2020,12,ST,117.25,EUR,18.04.2024,820,VENDOR7733
ACME-001,4500001250,20,MAT-CNG-004,Compressed Natural Gas,2020,250,,1.24,EUR,18.04.2024,300,VENDOR7733
ACME-001,4500001251,10,MAT-LBO-007,Lubricant Oil 15W40,1010,1500,KG,3.46,USD,17.05.2024,300,VENDOR1102
ACME-001,4500001251,20,MAT-CNG-004,Compressed Natural Gas,1010,12,KG,1.50,USD,17.05.2024,300,VENDOR1102
ACME-001,4500001251,30,MAT-PTL-002,Petrol 95,1010,1000,L,1.76,USD,17.05.2024,300,VENDOR1102
ACME-001,4500001252,10,MAT-LBO-007,Lubricant Oil 15W40,1010,250,KG,411.98,INR,17.03.2024,300,VENDOR4502
ACME-001,4500001252,20,MAT-PTL-002,Petrol 95,1010,1500,L,131.11,INR,03/17/2024,300,VENDOR4502
ACME-001,4500001252,30,MAT-OFC-099,Office Supplies Bundle,1010,5,ST,9763.07,INR,17-Mar-24,820,VENDOR4502
ACME-001,4500001254,10,MAT-ITH-045,Laptop Dell Latitude,1010,1500,ST,116893.15,INR,02.03.2024,700,VENDOR9001
ACME-001,4500001257,10,MAT-OFC-099,Office Supplies Bundle,2020,2000,ST,122.31,USD,02.02.2024,820,VENDOR4502
ACME-001,4500001257,20,MAT-PKG-012,Cardboard Packaging,2020,2000,KG,0.86,USD,02.02.2024,450,VENDOR4502
ACME-001,4500001257,30,MAT-CNG-004,Compressed Natural Gas,2020,800,KG,1.51,USD,02.02.2024,300,VENDOR4502
ACME-001,4500001260,10,MAT-DSL-001,Diesel EN590,1010,250,,1.53,EUR,12.05.2024,300,VENDOR4502
ACME-001,4500001260,20,MAT-LBO-007,Lubricant Oil 15W40,1010,2000,KG,4.55,EUR,12.05.2024,300,VENDOR4502
ACME-001,4500001261,10,MAT-DSL-001,Diesel EN590,2020,2000,L,1.43,EUR,16.01.2024,300,VENDOR9001
ACME-001,4500001263,10,MAT-PKG-012,Cardboard Packaging,1010,1500,KG,0.91,USD,03.02.2024,450,VENDOR7733
ACME-001,4500001264,10,MAT-PKG-012,Cardboard Packaging,2020,250,KG,0.77,EUR,20.04.2024,450,VENDOR7733
