Tenant_ID,Expense_ID,Employee_ID,Date,Type,Description,Origin,Destination,Class,Nights,Amount,Currency,Country
ACME-001,EXP-001,EMP-2413,2024-06-11,HOTEL,Hotel Mumbai 3N,,Mumbai,,3,12912,INR,IN
ACME-001,EXP-002,EMP-2403,2024-04-18,CAR,Car rental Mumbai,,Mumbai,,,3822,INR,IN
ACME-001,EXP-003,EMP-2406,2024-06-13,RAIL,Train DEL-AGR,DEL,AGR,,,1025,INR,IN
ACME-001,EXP-004,EMP-2407,2024-03-29,FLIGHT,MAA-SIN one-way,MAA,SIN,Economy,,53258,INR,US
ACME-001,EXP-005,EMP-2402,2024-06-07,FLIGHT,FRA-LHR one-way,FRA,LHR,Business,,198830,INR,US
ACME-001,EXP-006,EMP-2417,2024-04-12,RAIL,Train BOM-PNQ,BOM,PNQ,,,934,INR,IN
ACME-001,EXP-007,EMP-2405,2024-05-14,RAIL,Train DEL-AGR,DEL,AGR,,,478,INR,IN
ACME-001,EXP-008,EMP-2403,2024-05-16,TAXI,Uber to airport,,,,,318,INR,IN
ACME-001,EXP-009,EMP-2412,2024-06-24,HOTEL,Hotel Bangalore 1N,,Bangalore,,1,8806,INR,IN
ACME-001,EXP-010,EMP-2413,2024-03-01,HOTEL,Hotel London 2N,,London,,2,520,USD,US
ACME-001,EXP-011,EMP-2402,2024-05-25,RAIL,Train BLR-MAS,BLR,MAS,,,1042,INR,IN
ACME-001,EXP-012,EMP-2403,2024-06-01,RAIL,Train BLR-MAS,BLR,MAS,,,1033,INR,IN
ACME-001,EXP-013,EMP-2413,2024-04-11,FLIGHT,HYD-LHR one-way,HYD,LHR,Economy,,47572,INR,US
ACME-001,EXP-014,EMP-2413,2024-05-25,RAIL,Train BLR-MAS,BLR,MAS,,,1932,INR,IN
ACME-001,EXP-015,EMP-2405,2024-05-18,HOTEL,Hotel New York 5N,,New York,,5,1135,USD,US
ACME-001,EXP-016,EMP-2409,2024-03-27,FLIGHT,JFK-FRA one-way,JFK,FRA,Economy,,65473,INR,US
ACME-001,EXP-017,EMP-2414,2024-04-26,HOTEL,Hotel London 4N,,London,,4,1272,USD,US
ACME-001,EXP-018,EMP-2402,2024-04-06,HOTEL,Hotel London 3N,,London,,3,1077,USD,US
ACME-001,EXP-019,EMP-2407,2024-05-26,FLIGHT,MAA-BOM one-way,MAA,BOM,Economy,,4757,INR,IN
ACME-001,EXP-020,EMP-2407,2024-04-30,HOTEL,Hotel Delhi 4N,,Delhi,,4,25580,INR,IN
ACME-001,EXP-021,EMP-2420,2024-05-13,FLIGHT,SIN-DXB one-way,SIN,DXB,Y,,127472,INR,US
ACME-001,EXP-022,EMP-2420,2024-05-28,FLIGHT,DEL-SIN one-way,DEL,SIN,Economy,,46526,INR,US
ACME-001,EXP-023,EMP-2416,2024-04-29,TAXI,Uber to airport,,,,,675,INR,IN
ACME-001,EXP-024,EMP-2416,2024-05-11,HOTEL,Hotel New York 5N,,New York,,5,1890,USD,US
ACME-001,EXP-025,EMP-2416,2024-04-24,CAR,Car rental Pune,,Pune,,,5652,INR,IN
ACME-001,EXP-026,EMP-2405,2024-06-04,CAR,Car rental Mumbai,,Mumbai,,,4123,INR,IN
ACME-001,EXP-027,EMP-2407,2024-06-16,HOTEL,Hotel London 4N,,London,,4,844,USD,US
ACME-001,EXP-028,EMP-2408,2024-04-26,FLIGHT,HYD-MAA one-way,HYD,MAA,Economy,,9502,INR,IN
ACME-001,EXP-029,EMP-2410,2024-06-23,HOTEL,Hotel Mumbai 2N,,Mumbai,,2,9788,INR,IN
ACME-001,EXP-030,EMP-2412,2024-05-28,FLIGHT,MAA-DXB-DEL return,MAA,DEL,C,,53390,INR,IN
ACME-001,EXP-031,EMP-2414,2024-04-23,FLIGHT,SIN-FRA one-way,SIN,FRA,Premium,,128929,INR,US
ACME-001,EXP-032,EMP-2400,2024-06-18,CAR,Car rental Pune,,Pune,,,5116,INR,IN
ACME-001,EXP-033,EMP-2415,2024-03-01,RAIL,Train DEL-AGR,DEL,AGR,,,1943,INR,IN
ACME-001,EXP-034,EMP-2412,2024-06-18,CAR,Car rental Mumbai,,Mumbai,,,6409,INR,IN
ACME-001,EXP-035,EMP-2417,2024-06-11,HOTEL,Hotel Mumbai 4N,,Mumbai,,4,19188,INR,IN
ACME-001,EXP-036,EMP-2408,2024-04-25,HOTEL,Hotel New York 3N,,New York,,3,969,USD,US
ACME-001,EXP-037,EMP-2412,2024-06-01,FLIGHT,DXB-BOM one-way,DXB,BOM,Premium,,112006,INR,US
ACME-001,EXP-038,EMP-2400,2024-06-25,TAXI,Uber to airport,,,,,638,INR,IN
ACME-001,EXP-039,EMP-2404,2024-06-19,HOTEL,Hotel Delhi 3N,,Delhi,,3,18315,INR,IN
ACME-001,EXP-040,EMP-2410,2024-03-28,HOTEL,Hotel Bangalore 4N,,Bangalore,,4,21116,INR,IN
ACME-001,EXP-041,EMP-2413,2024-04-02,CAR,Car rental Mumbai,,Mumbai,,,2158,INR,IN
ACME-001,EXP-042,EMP-2417,2024-03-07,RAIL,Train DEL-AGR,DEL,AGR,,,859,INR,IN
ACME-001,EXP-043,EMP-2420,2024-03-09,CAR,Car rental Pune,,Pune,,,2329,INR,IN
ACME-001,EXP-044,EMP-2400,2024-04-01,FLIGHT,BLR-JFK one-way,BLR,JFK,Economy,,50633,INR,US
ACME-001,EXP-045,EMP-2404,2024-04-30,HOTEL,Hotel London 2N,,London,,2,658,USD,US
